,match_time_bm,away_player,home_player,odds_away_bm,odds_home_bm,spread_away_bm,spread_home_bm,away_decimal_odds_bm,home_decimal_odds_bm,match_time_bto,odds_away_bto,odds_home_bto,spread_away_bto,spread_home_bto,away_decimal_odds_bto,home_decimal_odds_bto,best_away,best_home,cum_prob,log_time
81,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:38:23.302055
82,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:38:23.302055
83,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:39:12.053333
84,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:39:12.053333
85,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:39:12.053333
86,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:39:29.995064
87,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:39:29.995064
88,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:39:29.995064
89,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:40:59.138671
90,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:40:59.138671
91,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:40:59.138671
92,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:41:21.507112
93,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:41:21.507112
94,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:41:21.507112
95,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:42:01.450116
96,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:42:01.450116
97,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:42:01.450116
98,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:42:23.356850
99,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:42:23.356850
100,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 06:42:23.356850
101,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 06:43:01.855020
102,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 06:43:01.855020
