,sport_x,league_x,sportsbook_x,startdate_x,awayteam,hometeam,description_x,islive_x,home_decimal_odds_x,away_decimal_odds_x,sport_y,league_y,sportsbook_y,startdate_y,description_y,islive_y,home_decimal_odds_y,away_decimal_odds_y,sport,league,sportsbook,startdate,description,islive,home_decimal_odds,away_decimal_odds,best_away,best_home,cum_prob,log_time,best_book_home,best_book_away
651536,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,arseniy yatsynov,sergey yakovlev,Arseniy Yatsynov vs Sergey Yakovlev,0,1.5882352941176472,2.4,,,,,,,,,,,,,,,,,2.4,1.5882352941176472,1.0462962962962963,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651537,Martial Arts,UFC,BetOnline,2021-06-11T16:00:01Z,osimkhon rakhmonov,aslan shogov,Osimkhon Rakhmonov vs Aslan Shogov,0,1.4651162790697674,2.75,,,,,,,,,,,,,,,,,2.75,1.4651162790697674,1.046176046176046,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651538,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,steve herelius,juan torres,Steve Herelius vs Juan Torres,0,2.75,1.4878048780487805,,,,,,,,,,,,,,,,,1.4878048780487805,2.75,1.0357675111773472,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651539,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,yosdenis cedeno,alan arzeno,Yosdenis Cedeno vs Alan Arzeno,0,1.7692307692307692,2.1,,,,,,,,,,,,,,,,,2.1,1.7692307692307692,1.041407867494824,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651540,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,montaser aboughaly,luke parsons,Montaser Aboughaly vs Luke Parsons,0,3.2,1.3846153846153846,,,,,,,,,,,,,,,,,1.3846153846153846,3.2,1.0347222222222223,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651541,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,josh alvarez,paul teague,Josh Alvarez vs Paul Teague,0,2.0,1.8333333333333335,,,,,,,,,,,,,,,,,1.8333333333333335,2.0,1.0454545454545454,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651542,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,jarod grant,travis thompson,Jarod Grant vs Travis Thompson,0,2.4,1.625,,,,,,,,,,,,,,,,,1.625,2.4,1.0320512820512822,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651543,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,francesco ricchi,brian maxwell,Francesco Ricchi vs Brian Maxwell,0,1.5405405405405406,2.6,,,,,,,,,,,,,,,,,2.6,1.5405405405405406,1.0337381916329285,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651544,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,eduardo concepcion,gabe brown,Eduardo Concepcion vs Gabe Brown,0,2.85,1.4651162790697674,,,,,,,,,,,,,,,,,1.4651162790697674,2.85,1.0334168755221387,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651545,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,bruce lutchmedial,eddie hoch,Bruce Lutchmedial vs Eddie Hoch,0,1.625,2.4,,,,,,,,,,,,,,,,,2.4,1.625,1.0320512820512822,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651546,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,jake bostwick,julian lane,Jake Bostwick vs Julian Lane,0,1.9090909090909092,1.9090909090909092,,,,,,,,,,,,,,,,,1.9090909090909092,1.9090909090909092,1.0476190476190477,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651547,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,pearl gonzalez,charisa sigala,Pearl Gonzalez vs Charisa Sigala,0,2.5300000000000002,1.5617977528089888,,,,,,,,,,,,,,,,,1.5617977528089888,2.5300000000000002,1.03554468678022,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651548,Martial Arts,UFC,BetOnline,2021-06-27T00:00:01Z,thiago alves,ulysses diaz,Thiago Alves vs Ulysses Diaz,0,2.8,1.4761904761904763,,,,,,,,,,,,,,,,,1.4761904761904763,2.8,1.0345622119815667,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651549,Martial Arts,UFC,BetOnline,2021-06-27T01:00:01Z,luis palomino,tyler goodjohn,Luis Palomino vs Tyler Goodjohn,0,3.5,1.3333333333333333,,,,,,,,,,,,,,,,,1.3333333333333333,3.5,1.0357142857142856,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651550,Martial Arts,UFC,BetOnline,2021-06-27T01:30:01Z,hector lombard,joe riggs,Hector Lombard vs Joe Riggs,0,2.2,1.7142857142857144,,,,,,,,,,,,,,,,,1.7142857142857144,2.2,1.0378787878787878,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651551,Martial Arts,UFC,BetOnline,2021-06-27T02:00:01Z,joey beltran,sam shewmaker,Joey Beltran vs Sam Shewmaker,0,4.3,1.25,,,,,,,,,,,,,,,,,1.25,4.3,1.0325581395348837,2021-06-11 05:30:15.983200,BetOnline,BetOnline
